step,check,result
sta01,"Task 2: slopes without the control 0.617322, -0.983356, 2.050024 (1e-6)",pass
sta01,"Task 2: slopes with y_(t-1) 0.575667, -1.050405, 2.153022 (1e-6)",pass
sta01,"Task 3: the draw holds T = 200 periods",pass
sta01,"Task 3: T_h = 199 - h at every horizon",pass
sta01,"Task 3: beta_0 = 0.878940",pass
sta01,"Task 3: beta_12 = -0.293297",pass
sta01,"Task 3: the estimate lies below theta_h at all 13 horizons",pass
sta01,"Task 4: 199 - h rows with the control and 200 - h without",pass
sta01,"Task 4: with R = 200 the mean at rho = 0.9 and h = 8 is 0.370337",pass
sta01,"Task 4: with R = 200 the standard deviation at rho = 0.9 and h = 8 is 0.211226",pass
sta01,"Task 4: without y_(t-1) the spread is larger at every h when rho = 0.9 (R = 200)",pass
sta01,"Task 4: with R = 500 the mean at rho = 0.9 and h = 8 is 0.397256",pass
sta01,"Task 4: with R = 500 the standard deviation at rho = 0.9 and h = 8 is 0.228403",pass
sta01,"Task 4: the caption names the intervention and its unit",pass
sta01,"Task 4: the caption gives the outcome's units",pass
sta01,"Task 4: the caption gives the horizon unit",pass
sta01,"Task 4: the caption names the counterfactual",pass
sta01,"Task 4: the response graph is exported to output/pset/fig-sta01-one-draw.svg",pass
sta01,"Task 5: 508 consecutive quarters, 1889Q1-2015Q4",pass
sta01,"Task 5: newsy has 504 nonmissing quarters",pass
sta01,"Task 5: newsy in 1950Q3 is 0.600073",pass
sta01,"Task 5: 1941Q4 has the largest share, 0.261211 (1e-6)",pass
sta01,"Task 5: 1950Q3 has the second largest share, 0.195838 (1e-6)",pass
sta01,"Task 5: without 1950Q3 the h = 8 regression has 495 rows",pass
sta01,"Task 5: at h = 8 without 1950Q3 the estimate is 0.433969",pass
sta01,"Task 5: with Ramey-Zubairy controls the h = 10 regression has 490 rows",pass
sta01,"Task 5: with Ramey-Zubairy controls the h = 10 estimate is 0.29376385",pass
sta01,"Task 5: T_h = 504 - h",pass
sta01,"Task 5: beta_8 = 0.361906",pass
sta01,"Task 5: beta_10 = 0.404210",pass
sta01,"Task 5: the response peaks at h = 10",pass
sta01,"Task 5: the caption names the intervention and its unit",pass
sta01,"Task 5: the caption gives the outcome's units",pass
sta01,"Task 5: the caption gives the horizon unit",pass
sta01,"Task 5: the caption names the counterfactual",pass
sta01,"Task 5: the not-yet-argued paragraph has a sentence on units",pass
sta01,"Task 5: the not-yet-argued paragraph has a sentence on controls",pass
sta01,"Task 5: the not-yet-argued paragraph has a sentence on identification",pass
sta01,"Task 5: the not-yet-argued paragraph has a sentence on uncertainty",pass
sta01,"Task 5: the not-yet-argued paragraph has a sentence on episodes",pass
sta01,"Task 5: the response graph is exported to output/pset/fig-sta01-first-contact.svg",pass
handoff,"Handoff: the record comes from the Lecture 01 Explorer",pass
handoff,"Handoff Lab 2: handoff/hand_table.csv holds the shipped observations",pass
handoff,"Handoff Lab 2: 9 rows at h = 2, as in the browser",pass
handoff,"Handoff Lab 2: the slope at h = 2 against the browser",pass
handoff,"Handoff Lab 3: the record names one of the two shipped draws",pass
handoff,"Handoff Lab 3: thirteen browser estimates",pass
handoff,"Handoff Lab 3: handoff/onedraw_rho09_seed2.csv holds the shipped observations",pass
handoff,"Handoff Lab 3: 199 rows at h = 0",pass
handoff,"Handoff Lab 3: the slope at h = 0 against the browser",pass
handoff,"Handoff Lab 3: 198 rows at h = 1",pass
handoff,"Handoff Lab 3: the slope at h = 1 against the browser",pass
handoff,"Handoff Lab 3: 197 rows at h = 2",pass
handoff,"Handoff Lab 3: the slope at h = 2 against the browser",pass
handoff,"Handoff Lab 3: 196 rows at h = 3",pass
handoff,"Handoff Lab 3: the slope at h = 3 against the browser",pass
handoff,"Handoff Lab 3: 195 rows at h = 4",pass
handoff,"Handoff Lab 3: the slope at h = 4 against the browser",pass
handoff,"Handoff Lab 3: 194 rows at h = 5",pass
handoff,"Handoff Lab 3: the slope at h = 5 against the browser",pass
handoff,"Handoff Lab 3: 193 rows at h = 6",pass
handoff,"Handoff Lab 3: the slope at h = 6 against the browser",pass
handoff,"Handoff Lab 3: 192 rows at h = 7",pass
handoff,"Handoff Lab 3: the slope at h = 7 against the browser",pass
handoff,"Handoff Lab 3: 191 rows at h = 8",pass
handoff,"Handoff Lab 3: the slope at h = 8 against the browser",pass
handoff,"Handoff Lab 3: 190 rows at h = 9",pass
handoff,"Handoff Lab 3: the slope at h = 9 against the browser",pass
handoff,"Handoff Lab 3: 189 rows at h = 10",pass
handoff,"Handoff Lab 3: the slope at h = 10 against the browser",pass
handoff,"Handoff Lab 3: 188 rows at h = 11",pass
handoff,"Handoff Lab 3: the slope at h = 11 against the browser",pass
handoff,"Handoff Lab 3: 187 rows at h = 12",pass
handoff,"Handoff Lab 3: the slope at h = 12 against the browser",pass
handoff,"Handoff Lab 4: recognized controls and rows",pass
handoff,"Handoff Lab 4: 495 rows, as stored in the browser",pass
handoff,"Handoff Lab 4: the selected estimate against the browser",pass
handoff,"Handoff Lab 4: 496 rows on the full sample",pass
handoff,"Handoff Lab 4: the full-sample estimate against the browser",pass
